아버지는 돌아가시기 직전까지 응급실에서 2시간 동안 심폐소생술을 한 것 외에는 별다른 검사나 치료 조치를 받지 못했다면서 병원에 백신 접종 후 쓰러졌다고 얘기했음에도 응급실에서는 아버지의 개인적 원인에 대한 이유를 찾으려는 것처럼 느껴졌다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
사례 중에는 몇년간 생리를 하지 않았다가 백신 접종 후 출혈이 생겼다는 여성도 있었다 .	O O O O O O O O O SYMP-B O O O O
중증 환자 의료비 지원에는 간병비가 제외돼 있어 실질적으로 중증 환자의 의료비 부담 해소에 한계가 있다는 지적을 반영해 지원책이 개선됐다 .	O O O O O O O O O O O O O O O O O O O O
결국 코로나 백신 이상반응이 예민한 이슈인 상황에서 의료진 역시 최대한 변수를 제외하는 방법으로 일정 수준 접종 간격을 둘 가능성도 있다는 게 현장의 시각이다 .	O O O O O O O O O O O O O O O O O O O O O O O O
그는 물리치료를 받고 있는 동생의 사진을 공개하며 “동생이 입원하고 3주째 재활운동을 하고 있지만, 아직 걸을 수 없는 상태”라며 척추염으로 처방받은 약의 골든타임이 6~9주라던데 그사이에 못 움직이면 영원히 못 움직인다더라 .	O O O O O O O O O O O O O O O O O O DIS-B O O O O O O O O O O O
그 진위 여부를 떠나 한 가지 분명한 것은 지구는 무한히 품어 주는 곳이 아니라는 점이다 .	O O O O O O O O O O O O O O O O
지난 5일까지 심각한 백신 이상 반응을 경험한 1315명 중 진료비 지원을 받은 사람은 7명에 불과하다 .	O O O O O O O O O O O O O O O O
따라서 끊임없는 마음공부로 심리적인 평정을 찾는 게 무엇보다 중요한 과제라 할 수 있다 .	O O O O O O O O O O O O O O
독감 백신은 고위험군인 만 65세 이상 어르신, 임신부, 만 13세 이하 어린이는 정부에서 무료로 접종을 해준다 .	O O O O O O O O O O O O O O O O O
해외 주재원인 A씨는 지난 5월 회사의 지원으로 현지에서 백신을 맞은 뒤 기절 등 증상이 나타나 병원에 입원해 스테로이드 주사 치료를 받아야 했다 .	O O O O O O O O O O O O O O O O O O O O O O O
코로나 백신 접종으로 한 가정의 가장이 무너지고 가계가 무너지는 상황에 처해있다 .	O O O O O O O O O O O O
이달 들어 (무)안심되는아나필락시스쇼크진단보험에 가입한 가입자 중 30대의 비중은 이전보다 159% 늘었는데, 남성이 무려 189% 급증했다 .	O O O O O O O O O O O O O O O O
사진=온라인커뮤니티 지난 2일 네이버 카페 ‘코로나 백신 부작용 피해자 모임’에는 “백신 접종 즉시 한의원 가서 부항 뜨는 거 어떨까요. 어깨, 팔 위주로 피를 빼는 거에요”라는 글이 올라와 이목을 모았다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이날 방송에서 임예인 한의사는 어혈을 뽑는다고 하는 개념이, 몸속 국소 부위에 독이 있어서 독을 밖으로 뽑아낸다는 느낌보다는 어혈이라는 상태를 해소해주는, 풀어주는 개념에 가깝다고 설명했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
그렇다면 방귀나 트림이 잦을 때에는? 대부분 일시적 현상이므로 너무 걱정하지 않는 것이 좋다 .	O O O O O O O O O O O O O O
아나필락시스 쇼크를 보장하는 백신 보험은 삼성화재(000810), DB손해보험(005830), 현대해상(001450), KB손해보험, 메리츠화재(000060), 롯데손해보험(000400) 등이 특약이나 주계약 형태로 판매 중이다 .	DIS-B DIS-I O O O O O O O O O O O O O O O O
특히 이날 나 교수는 코로나백신의 위험을 시각적인 자료를 통해 비교했다 .	O O O O O O O O O O O
넷째, 사회활동 적극적으로 하기 인간은 사회적 동물이다 .	O O O O O O O O
최근 그는 Mnet 스트릿 우먼 파이터(스우파)에 파이트 저지로 활약하고 있다 .	O O O O O O O O O O O
치료비와 간병비는 국가가 전액 책임져야 한다 .	O O O O O O O
교보라이프플래닛은 토스처럼 카카오페이와 손잡고 무료 백신 부작용 보험 지원 이벤트를 진행하고 있다 .	O O O O O O O O O O O O O
그러나 올해는 상황이 다르다. 11월 중순부터 위드 코로나 전환 정책이 시행됨에 따라 거리 두기 효과가 떨어질 가능성이 커 지난해 만큼 독감이 줄지 않을 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
그 방법을 모색해 봤다 .	O O O O O
전국교직원노동조합 대전지부 관계자는 “현재 접종 당일 공가를 사용할 수 있고, 이상반응이 보이면 병가를 이용할 수 있다 .	O O O O O O O O O O O O O O O O O
노르웨이 매체 NRK는 지난 8일 “오슬로에 사는 17세 여학생이 최근 SNS ‘틱톡’에 올린 영상을 통해 ‘화이자 백신을 접종한 뒤 가슴이 커졌다 .	O O O O O O O O O O O O O O O VACC-B O O O O O O
청원인은 아들 A씨에 대해 한창 본인의 꿈을 위해 공부에 한창이었던 아이였다며 공인회계사(CPA) 1차 합격을 하고 내년 봄 2차 합격을 위해 군 복무 중에도 공부에 또 공부를 하던 아이였다고 애통해했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Q. 혈전증 논란으로 한때 아스트라제네카 백신 접종이 중단되기도 했습니다 .	O DIS-B O O VACC-B O O O O O
A씨는 카페는 결코 코로나19 백신을 부정하거나 안티-백신 카페가 아니다라면서 세계적 재난상황 정책에 따라 백신을 접종했지만 그로 인해 발생하는 부작용을 호소하는 분들을 외면하지 말아달라는 뜻을 전달하고자 한다고 거듭 강조했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
청원인은 “여성들이 백신 접종 후 생리 주기가 아닌데도 부정출혈이 발생하는 사례가 빈번히 발생하고 있다”며 “그런데 백신 부작용으로 신고조차 받아주지 않아 답답한 현실”이라고 호소했다 .	O O O O O O O O SYMP-B O O O O O O O O O O O O O O O
백신 미접종자가 500만여 명에 달하는 가운데 일부 시민들 사이에서 “백신을 맞으면 방사능에 피폭된다” 등의 거짓 유언비어가 확산되는 것으로 파악됐다 .	O O O O O O O O O O O O O O O O O O O O
어떤 백신이 좋고 어떤 백신이 더 나쁘다고 평가할 수는 없다 .	O O O O O O O O O O O
김미애 의원은 이상사례 인정이 10% 미만으로 90%는 부정하고 있는 꼴이라면서 청와대 게시판은 날마다 부작용 관련 청원글이 올라오고 있는데 느껴지는 것이 없느냐고 질타했다 .	O O O O O O O O O O O O O O O O O O O O O O O
청와대 국민청원 게시판에는 22일 ‘코로나 얀센 백신을 맞고 아버지가 24일 만에 사망하였습니다’라는 제목의 청원이 게재됐다 .	O O O O O VACC-B O O O O O DIS-B O O O O
해당 청원에서 청원인은 아버지가 아스트라제네카 백신 접종 후 길랭-바레증후군을 진단받고 사지마비를 비롯한 안면마비 호흡근 마비로 현재 중환자실 입원 중이라며 기저질환이라고는 고지혈증 하나밖에 없던 건강하신 분이었다 .	O O O O VACC-B O O O DIS-B O O O SYMP-B O O O O O O O O O O O O O
종합병원 의료진은 앞서 촬영한 CT 기록을 보고 심장 수치가 너무 높아 심근경색이 의심된다고 진단해 지난 9일 0시 30분께 2시간 동안 시술을 실시했다 .	O O O O O O O O O O O DIS-B O O O O O O O O O O O
임 작가는 집에서 혼자 주사부위에 부항을 뜨다가는 2차 감염으로 고생할 수도 있다는 게 한의사들의 공통적 의견이라며 조심할 필요가 있다고 조언했다 .	O O O O O O O O O O O O O O O O O O O O O
그러자 미국의 코로나 방역 당국인 질병통제예방센터(CDC)는 관련 자체 조사에 나섰고, 생리불순 등에 대해 잠재적인 부작용이라고 확인했다 .	O O O O O O O O O O SYMP-B O O O O O O
환자 대부분이 고령이지만 고혈압이 있는 환자에게 특별히 발병 빈도가 높아 고혈압이 기저질환인 환자에게 시력 저하가 생기면 한 번쯤 고려해 봐야 할 안과질환이다 .	O O O DIS-B O O O O O O DIS-B O O SYMP-B SYMP-I O O O O O O O O
고인의 부모라고 밝힌 청원인은 “가슴을 부여잡고 울면서 하소연한다 .	O O O O O O O O O
앞서 얀센 백신의 매우 드문 부작용으로 보고된 혈소판감소를 동반한 혈전증과는 별개로 새로 추가된 부작용이다 .	O VACC-B O O O O O DIS-B O DIS-B O O O O O
그러다 지난달 20일 이후 갑자기 A씨의 얼굴 안색이 창백해지고 구토 및 설사를 자주했다고 밝혔다 .	O O O O O O O O O SYMP-B O SYMP-B O O O
또한 유럽/영국에서 아스트라제네카 백신 접종자들이 겪은 폐색전증은 100만명 중 1.3건, 미국에서 얀센 백신 접종자들이 겪은 정맥혈전증은 100만명 중 1.1건으로 더욱더 적었다 .	O O VACC-B O O O DIS-B O O O O VACC-B O O O DIS-B O O O O O O
조명희 의원은 혈전증 등 이상 반응이 나타나면 의료기관이 요청한 경우 질병관리청은 백신 종류와 관계없이 검사를 실시하도록 하여 예방접종에 대한 국민의 신뢰를 높여야 한다고 강조했다 .	O O DIS-B O O O O O O O O O O O O O O O O O O O O O O
청원인은 코로나 백신 부작용이라는 제목의 청원에서 (아들이) 정부 방침대로 백신을 접종했는데 9일 만에 혈소판 감소, 백혈구 증가라는 의사의 말을 들었다며 한 대학병원에서 재검사한 결과 급성 골수염 백혈병이라는 판정을 받았다고 토로했다 .	O O O O O O O O O O O O O O O O O O O O O O O O DIS-B DIS-I DIS-I O O O O
현재 DB손해보험과 메리츠화재 등이 코로나 백신 부작용을 보장해주는 상품을 준비 중인 것으로 알려졌다 .	O O O O O O O O O O O O O O
하지만 근무 중인 레지던트 의사는 제대로 촬영 결과를 판독하지 못해 대형 병원에 의뢰했고 다음날 새벽에서야 암은 아니지만, 비장에 하얀 게 보이고 위와 장이 부어있다는 결과를 받았다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
라이나생명 (무)안심되는 아나필락시스진단 보험은 남자 40세 기준 연 1560원으로 최대 200만원까지 보장받을 수 있다 .	O O O O O O O O O O O O O O O
코로나19 백신을 접종한 일부 여성들이 생리불순과 부정출혈 등 이상 반응을 호소하고 있는 가운데 정부는 “인과성이 확인되지 않는다”고 발표했다 .	O O O O O SYMP-B SYMP-B O O O O O O O O O O O O
익명의 서울의 모 한방 병원 원장은 (부항으로 백신액이) 뽑혀 나오지 않는다 .	O O O O O O O O O O O O
아시아경제 취재 결과 백신을 맞은 용인외고 3학년 학생은 이상반응으로 치료를 받은 것은 맞지만 현재는 치료 후 정상적인 학교생활을 하고 있다 .	O O O O O O O O O O O O O O O O O O O O O
대한내과학회는 과거 대법원 판례를 참조해 추가 입법이 필요하다는 의견을 제시했다 .	O O O O O O O O O O O
모더나 백신 부작용 중 ‘탈모’ 또한 화제이다 .	VACC-B O O O DIS-B O O O
식중독을 일으키는 캄필로박터균 등에 감염되면 비정상적인 면역반응 때문에 생길 수 있다 .	O O O O O O O O O O O O
나아가 국민의힘 성일종 의원은 인과성 인정 확대와 진료비 선지급 전부를 법률로 규정하는 개정안을 내놨다 .	O O O O O O O O O O O O O O O
한편, 최은화 예방접종전문위원회 위원장은 소아·청소년은 코로나19로 인한 중증과 사망 위험이 성인에 비해 낮지만, 당뇨와 비만, 면역저하 질환 등 기저질환이 있는 아이들은 코로나19로 중증 진행 및 사망 위험이 높다고 알려져 있다며 특히 제1형 당뇨나 비만 등 내분비계 질환과 심혈관 질환, 만성 호흡기 질환, 신경계 질환 등을 가진 소아·청소년들은 접종을 받을 것을 권고한다고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
대신 지난 5월 슬그머니 다른 예방 접종의 부작용 판정 기준을 코로나19 백신 부작용 판정 기준에 맞춰 변경했다 .	O O O O O O O O O O O O O O O O O O
A씨에 따르면 그의 아버지는 백신 2차 접종을 맞은 당일부터 오한 구토 식욕 저하 발열 복통 설사 등 복합증상이 나타나 병원에 갔다 .	O O O O O O O O O SYMP-B SYMP-B SYMP-B SYMP-I SYMP-B SYMP-B SYMP-B O O O O O O
그렇지만 부작용과 인과관계가 없다고도 할 수 없기에 인과성 인정되기 어려우나 중증 환자로 1000만원 지원을 해준단다라고 했다 .	O O O O O O O O O O O O O O O O O
직장도 잃고 힘들다 .	O O O O
미국 질병예방통제센터(CDC)에 따르면 백신을 맞으면 팔에서 주사를 맞은 곳이 부어오르거나 빨갛게 변하거나 통증이 생긴다 .	O O O O O O O O O O O O O O O
아나필락시스나 아나필락틱 쇼크 등 중증 알레르기 반응이 나타나면 즉시 119로 연락하거나 가까운 병원 응급실로 가야 한다 .	DIS-B DIS-B DIS-I O O O O O O O O O O O O O O
이는 단순 신고건수일 뿐 백신과 이상반응 간 인과성을 의미하는 것은 아니다 .	O O O O O O O O O O O O
금액별로 살펴보면 30만원 미만 보상 신청 사례 602건 중 494건이, 30만원 이상 111건 중 31건이 보상을 받는다 .	O O O O O O O O O O O O O O O O O O
5일 업계에 따르면, 국내 주요 보험사들은 지난달 말부터 백신 부작용 보험을 건강보험 특약 또는 주계약 단독 상품으로 시판하고 있다 .	O O O O O O O O O O O O O O O O O O O O
황 교수는 국내에 도입된 백신이 상당한 효과가 있다고 설명했다 .	O O O O O O O O O O
코로나 백신의 부작용에 대한 국가의 무책임한 대응 탓에 코로나 백신 맞고 가족이 사망하거나 장애를 입은 가족은 평생 고통을 겪고 우울한 삶을 살아야 한다 .	O O O O O O O O O O O O O O O O O O O O O O O O
보험업계 관계자는 관련 백신보험을 무료로 이용하려면 결국 제휴사에도 회원가입을 해야 혜택을 받기 때문에, 사실상 신규 고객 유치를 위한 마케팅의 일환으로 볼 수 있다면서 중증 백신 부작용 확률은 지극히 낮기 때문에, 소비자들은 관련 내용을 꼼꼼히 살펴보고 이벤트 참여나 특약 가입을 진행해야 할 것이라고 지적했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
우울증 걸려 죽을 것 같다면서 탈모가 백신 부작용임을 강력하게 주장하고 있습니다 .	O O O O O DIS-B O O O O O O
이후 환자 상태는 호전됐고, 현재 경과 관찰이 필요하지만 큰 문제는 없는 것으로 파악되고 있다 .	O O O O O O O O O O O O O O O
한편 보건당국은 부검을 통해 백신 접종과 사망의 연관성 여부를 조사하겠다고 밝혔다 .	O O O O O O O O O O O O
이 같은 상황을 가까이에서 보는 이들은 백신 접종에 대한 두려움과 망설임이 생길 수밖에 없지 않느냐고 지적했다 .	O O O O O O O O O O O O O O O O O
미국 가수 니키 미나즈(Nicki Minaj)가 확인되지 않은 백신 부작용을 주장해 백악관 등 관련 기관이 진화에 나섰다 .	O O O O O O O O O O O O O O O O O
지난 18일 화이자 1차 접종을 받았다는 또 다른 네티즌은 생리 주기가 앞당겨졌다고 주장했다 .	O O VACC-B O O O O O O O O O O O
이어 “여성에게는 하혈은 가장 공포스러운 일인데도 병원에 가면 피임약을 처방해주거나 타이레놀을 복용하라는 말만 듣는다 .	O O SYMP-B O O O O O O O O O O O O
앞서도 한 현직 간호사는 자신이 직접 예약해준 코로나19 백신을 맞고 아버지가 사지마비 상태가 됐다며 진상규명을 촉구하는 청원을 올렸다 .	O O O O O O O O O O O O O O O O O O O
금감원 백신 불안감에 편승한 보험 판매⋯보장 가능성 희박한데 가입자만 끌어모아 4일 금감원은 주로 백신 보험이라는 이름으로 홍보되고 있지만, 실제로는 모든 백신 부작용을 보장하는 게 아니다라며 백신 부작용 가운데 아나필락시스 쇼크 한 가지만 보장한다고 짚었다. 아나필락시스 쇼크는 급성 중증 알레르기 반응을 말한다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
◆ 제휴사와 연계해 무료 가입…개인정보 제공 빌미 하지만 일각에서는 코로나 백신 부작용 보험이라는 것이 보험사의 상술이라는 지적도 나온다 .	O O O O O O O O O O O O O O O O O O O
백신별로는 흉통 관련 이상 반응은 화이자 백신이 2만8094건(68.3%)으로 가장 많았고, ▲모더나 8906건(21.6%) ▲아스트라제네카 3540건(8.6%)순으로 조사됐다 .	O SYMP-B O O O VACC-B O O O O VACC-B O VACC-B O O O
청원인은 아버지는 어머니가 접수하는 동안 응급실 앞 간이 의자에 앉아 계시다가 갑자기 앞으로 고꾸라져 쓰러졌다면서 아버지는 병원에 온 지 약 2시간 20분 만에 사망 판정을 받으셨다 .	O O O O O O O O O O O O O O SYMP-B O O O O O O O O DIS-B O O O
먹는 것, 마음의 상태, 운동… 이 세 가지는 상호작용을 통하여 면역력을 극대화한다 .	O O O O O O O O O O O O O
앤서니 파우치 미국 국립알레르기·전염병연구소장도 CNN 과의 인터뷰에서 근거 없는 정보를 퍼뜨릴 때는 한 번 더 생각해 봐야 한다라며 일침을 날렸다 .	O O O O O O O O O O O O O O O O O O O O O
이는 한달전(139건)에 비해 2배 이상 급증한 수치다 .	O O O O O O O O
전자는 눈 중심부의 큰 혈관이 막혀서 시력 저하가 심하고, 대부분 망막 출혈과 망막 부종을 동반한다 .	O O O O O O SYMP-B SYMP-I O O SYMP-B SYMP-I SYMP-B SYMP-I O O
매체가 소개한 9초짜리 영상을 보면 이 여학생은 자신의 가슴을 보여주며 “백신을 맞고 갑자기 가슴이 커졌다”고 주장한다 .	O O O O O O O O O O O O O O O O O
관활 보건소에 전화를 해도 답변이 좋지 않다 .	O O O O O O O O
한편 현재 질병관리청이 인정하고 있는 백신 이상반응 신고 항목엔 발열, 통증, 부기 발적 구토 메스꺼움 두통 관절통 근육통 피로감 알레르기 반응, 기타 등 8개 항목이다 .	O O O O O O O O O SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B O O O O O O
이런 가운데 정부가 코로나19 백신 접종 뒤 심근염과 심낭염 등 증상이 나타날 경우, 인과성 근거가 부족하더라도 1천만원까지 의료비를 지원받을 수 있는 정책을 지난 9일부터 실시했지만 턱없이 부족한 지원금에 오히려 반발 기류가 이어지고 있다 .	O O O O O O O DIS-B DIS-B O O O O O O O O O O O O O O O O O O O O O O O O O
심근염은 심장 근육에 염증이 생긴 상태, 심낭염은 심장을 둘러싼 얇은 막(심낭)에 생긴 염증을 뜻한다 .	DIS-B O O O O O DIS-B O O O O O O O O
A씨는 뉴스1과의 이메일 인터뷰에서 임상 데이터나 치료법이 없는 상황인 만큼 백신 부작용을 겪는 사람끼리의 정보 공유가 가장 소중한 정보라고 생각했다 .	O O O O O O O O O O O O O O O O O O O O O
EMA는 지난 7월 말 기준으로 전 세계적으로 접종된 AZ 백신 5억9200만 도스 중 833건의 길렝-바레 증후군이 보고됐다고 밝힌 바 있다 .	O O O O O O O O VACC-B O O O O O DIS-B DIS-I O O O O O
경북대 병원이 밝힌 사망 사유는 심근경색이다 .	O O O O O DIS-B O
현재 백신 이상 반응 신고 항목은 발열과 통증 부기 발적 구토 메스꺼움 두통 관절통 근육통 피로감 알레르기 반응, 기타, 총 8개 항목입니다 .	O O O O O O SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B SYMP-B O O O O O O
이들은 국가를 평생 원망하며 살 게 될 것이다. ‘사람이 먼저’라는 구호를 내걸고 집권한 민주당이고 문 대통령이다 .	O O O O O O O O O O O O O O O O O
특히 우리나라처럼 화석연료에 의존해 제조업을 일으키고 발전시킨 나라의 책임이 크다 .	O O O O O O O O O O O
특히 사망의 경우 인과성이 인정된 건 0.3%에 불과하다 .	O O O O O O O O O
2건은 결정을 보류하고 자료를 보완하여 다시 논의하기로 했다 .	O O O O O O O O O
그만큼 많은 사람들이 코로나19 백신 접종 후기나 접종 후 증상 공유, 치료에 대한 이야기를 나누고, 병원이나 당국의 대처를 공유하고 있다는 것이다 .	O O O O O O O O O O O O O O O O O O O O O O
이어 지금 상황은 백신이 답이 아니다라며 개인 질환과 체질, 알레르기, 부작용으로 백신 접종을 무조건 강제할 수 있느냐 .	O O O O O O O O O SYMP-B O O O O O O O O
천연 백신인 물질과 온전한 마음, 평화로운 마음 상태가 중요하다 .	O O O O O O O O O O
늦은 백신 도입으로 국내 백신 접종률이 낮은 상황 속 백신에 대한 불안감까지 높자, 국민들을 안심시킬 메시지를 보낸 것이다 .	O O O O O O O O O O O O O O O O O O O
신규 사망 신고는 20명이다 .	O DIS-B O O O
유럽연합(EU)를 포함한 여러 나라들이 젊은 층에 대한 AZ 백신 접종을 제한하는 것도 이런 이유 때문이다 .	O O O O O O O VACC-B O O O O O O O O
검사하니 처음엔 뇌수막염이라고 그러더니 이젠 횡단성 척수염 상·하반신 마비라고 한다며 분통을 터뜨렸다 .	O O DIS-B O O DIS-B DIS-I DIS-B DIS-I O O O O
생리 이상 반응을 겪은 여성들은 공통적으로 이에 대한 사전 고지를 받지 못해 불안감을 느꼈다고 호소했다 .	SYMP-B SYMP-I O O O O O O O O O O O O O O
아침 미사를 드릴 때는 이러다 공소가 떠내려가는 건 아닐까 싶을 정도의 비가 왔던 것입니다 .	O O O O O O O O O O O O O O O
A씨는 1차 CT 소견상 다발성출혈이라 2차 CT 결과를 봐야했다	O O O O DIS-B O O O O
아나필락시스 의심 사례 1천123건, 주요 이상 반응 사례는 신경계 이상반응 등 8천212건, 사망 사례 653건으로 신고됐다 .	DIS-B O O O O O O O O O O O O O O O O
백신이 안전하며, 백신으로 인한 부작용에 대해 보상해 주겠다던 정부를 신뢰하고 접종한 결과가 결국 한 가정의 붕괴라는 것이 참 암담하다라고 했다 .	O O O O O O O O O O O O O O O O O O O O O
한 네티즌은 “마트에 갔다가 셰딩을 당해서 두통이 생겼다”며 글을 올렸다 .	O O O O O O O O O O O
아울러 2만8,700여 명이 동의한 청원에는 초등학교 남교사가 화이자 1차 접종 후 사경을 헤매고 있다고 언급했으며, 1만 7400명이 동의한 청원에는 화이자 접종 후 예비신랑이 급성 골수성 백혈병에 걸렸다고 호소했다 .	O O O O O O O VACC-B O O O O O O O O O O O VACC-B O O O DIS-B DIS-I DIS-I O O O
올해 초를 기준으로 보고된 결과에서 화이자와 모더나 백신을 맞은 미국 국민 100만명 당 4.5명 정도가 아나필락시스 반응을 보였다 .	O O O O O VACC-B VACC-B O O O O O O O O DIS-B DIS-I O O
실제 유튜브를 운영 중인 전문의들 중 일부는 화이자 백신 접종으로 발생할 수 있는 부작용 중 하나인 심근염 예방이나 접종 후 가슴통증 발견 시에는 이부프로펜 성분 소염진통제를 복용할 것을 권고하고 있다 .	O O O O O O O VACC-B O O O O O O O O DIS-B O O O SYMP-B O O O O O O O O O O
이어 주석은 6일 새 글을 통해 지금은 대략 50군 데 정도. 작은 게 합쳐져서 손바닥만 해질 때도 있고 몇군 데인지 세긴 애매하다며 평균 온 몸 30~60군 데는 벌레 물린 것처럼 두드러기를 호소했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O SYMP-B O O
